Date,Anger,Disgust,Fear,Joy,Sadness,Analytical,Confident,Tentative,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional Range,notes
7/9/12 13:41,0.188075,0.046503,0.110975,0.585304,0.499757,0.624968,0.0,0.683401,0.387282,0.99477,0.735788,0.861806,0.815301,"Hello ,Welcome to Retrofit! I look forward to working with you over the coming months as your Program Advisor. I also have your Welcome Kit all set to be shipped. You should have received an email with a link to your Retrofit dashboard when you signed up, so when you have the time, please log in and get the items on your New Client Checklist started. Also by clicking """"View at Retrofit"""" to this email notification you will be directed straight to your Checklist as well.You and I need to get an Introduction call on the books. This call should last for about 30 minutes, and will be our chance to get to know one another, review the details of the program, set up some expectations, and have a look at the timeline. Please send me some times that you have available for this week or next week.I look forward to working with you,"
7/11/12 18:51,0.016908,0.00534,0.1258,0.53297,0.148875,0.668742,0.0,0.0,0.790319,0.875935,0.65357,0.864779,0.958125,Hi It was great talking with you today. Here is the link to download the Retrofit cookbook.http://www.retrofitme.com/recipes
7/12/12 0:19,0.169754,0.011024,0.013126,0.317294,0.316928,0.0,0.0,0.0,0.283972,0.514022,0.475393,0.625826,0.470029,Got my devices tonight.  Will be setting them up.
7/12/12 13:23,0.088146,0.036602,0.042221,0.474091,0.188053,0.0,0.0,0.0,0.618793,0.263554,0.696881,0.571078,0.135875,Weighed myself with new scale this morning.  My scale was off by 8 lbs :-(
7/12/12 13:23,0.140132,0.056817,0.20558,0.01794,0.626761,0.77494,0.0,0.0,0.264049,0.449911,0.188743,0.155863,0.882799,", Is it on a hard surface? How do you know it was off?"
7/12/12 13:50,0.145483,0.086413,0.161832,0.037185,0.597967,0.336637,0.693873,0.0,0.731579,0.004897,0.553265,0.128166,0.297428,"Sorry, I meant my personal scale was off by 8 lbs.  I've been weighing 180 on it pretty consistently. On the Withings I'm 188, which I assume is more accurate than my cheap Walmart scale :-)"
7/13/12 14:28,0.090198,0.016371,0.074719,0.554518,0.106778,0.0,0.0,0.0,0.02989,0.377126,0.496892,0.634139,0.648452,Whoops!  Make that Thursday 11 pm
7/14/12 1:38,0.084531,0.029158,0.160677,0.338593,0.229032,0.0,0.0,0.990986,0.493675,0.847578,0.371267,0.483703,0.89775,Just got back from the grocery store.  Going to try some food from the recipe book this weekend
7/14/12 15:53,0.088123,0.071372,0.646238,0.003877,0.268485,0.657149,0.755896,0.0,0.294422,0.007134,4.1e-05,0.169899,0.004695,"changed my fitbit to be more sensitive yesterday because I felt like it was not accurately registering how long it takes me to fall asleep.  I think that part is more accurate, but it also puts me awake for long periods of time in the middle of the night, which I don't think is accurate."
7/15/12 15:41,0.141598,0.135926,0.175737,0.16067,0.327521,0.0,0.0,0.0,0.563718,0.27603,0.550138,0.596321,0.277676,and four pineapple chunks
